,UniProt ID,PDB ID,pdbid,membrane_name_cache
94,P26678,PDB IDs: 1zll,1zll,Endoplasm. reticulum
95,P13738,PDB IDs: 1zcd,1zcd,Gram-neg. inner
96,P62483,PDB IDs: 2a79,2a79,Eykaryo. plasma
98,Q0QF01,PDB IDs: 1zoy,1zoy,Mitochon. inner
99,P29972,PDB IDs: 1h6i,1h6i,Eykaryo. plasma
100,P09169,PDB IDs: 1i78,1i78,Gram-neg. outer
101,O29285,PDB IDs: 2b2f,2b2f,Archaebac.
102,P29563,PDB IDs: 1vgo,1vgo,Archaebac.
103,P42512,PDB IDs: 1xkw,1xkw,Gram-neg. outer
104,P02932,PDB IDs: 1pho,1pho,Gram-neg. outer
105,P22483,PDB IDs: 2x2v,2x2v,Gram-pos. inner
106,Q9YDF8,PDB IDs: 2a0l,2a0l,Archaebac.
107,Q9C4Z5,PDB IDs: 2f2b,2f2b,Archaebac.
108,P00845,PDB IDs: 1wu0,1wu0,Gram-pos. inner
110,Q9WZ31,PDB IDs: 2bbj,2bbj,Gram-neg. inner
111,P21396,PDB IDs: 1o5w,1o5w,Mitochon. outer
116,P02974,PDB IDs: 2pil,2pil,Gram-neg. inner
117,Q41372,PDB IDs: 1z98,1z98,Eykaryo. plasma
119,Q9YHT1,PDB IDs: 2h88,2h88,Mitochon. inner
120,P17413,PDB IDs: 2bs2,2bs2,Gram-neg. inner
121,P31356,PDB IDs: 2z73,2z73,Eykaryo. plasma
122,Q8II36,PDB IDs: 3c02,3c02,Eykaryo. plasma
123,P0A915,PDB IDs: 2f1v,2f1v,Gram-neg. outer
124,P47863,PDB IDs: 2d57,2d57,Eykaryo. plasma
125,Q81HW2,PDB IDs: 2ahy,2ahy,Gram-pos. inner
133,P04695,PDB IDs: 2x72,2x72,Eykaryo. plasma
135,P04626,PDB IDs: 2ks1,2ks1,Eykaryo. plasma
138,P61015,PDB IDs: 2kb7,2kb7,Endoplasm. reticulum
139,P08514,PDB IDs: 2k1a,2k1a,Eykaryo. plasma
140,P05106,PDB IDs: 2rmz,2rmz,Eykaryo. plasma
141,Q12983,PDB IDs: 2ka2,2ka2,Mitochon. outer
142,Q5ZWR1,PDB IDs: 3rfu,3rfu,Gram-neg. inner
143,Q99380,PDB IDs: 1rkl,1rkl,Endoplasm. reticulum
144,P0C6T2,PDB IDs: 2lat,2lat,Endoplasm. reticulum
145,P0A334,PDB IDs: 3pjs,3pjs,Gram-pos. inner
146,G1K3Q0,PDB IDs: 3am6,3am6,Eykaryo. plasma
147,P37001,PDB IDs: 3gp6,3gp6,Gram-neg. outer
148,P17787,PDB IDs: 2ksr,2ksr,Eykaryo. plasma
149,P68806,PDB IDs: 3hzq,3hzq,Gram-pos. inner
152,O43914,PDB IDs: 2l34,2l34,Eykaryo. plasma
153,P0AGM7,PDB IDs: 3qe7,3qe7,Gram-neg. inner
154,A9A677,PDB IDs: 3s0x,3s0x,Archaebac.
155,P07550,PDB IDs: 3sn6,3sn6,Eykaryo. plasma
156,P18895,PDB IDs: 3rbh,3rbh,Gram-neg. outer
158,P11169,PDB IDs: 4zwc,4zwc,Eykaryo. plasma
160,Q9B6E9,PDB IDs: 4wz7,4wz7,Mitochon. inner
162,P08191,PDB IDs: 4j3o,4j3o,Gram-neg. outer
163,Q8U2X0,PDB IDs: 3wbn,3wbn,Archaebac.
165,P61829,PDB IDs: 2xok,2xok,Mitochon. inner
166,O28846,PDB IDs: 3ne2,3ne2,Archaebac.
167,P38054,PDB IDs: 3k07,3k07,Gram-neg. inner
170,Q99T13,PDB IDs: 2hyd,2hyd,Gram-pos. inner
175,A0A2R9TD79,PDB IDs: 4w6v,4w6v,Gram-neg. inner
178,Q9HVD1,PDB IDs: 2erv,2erv,Gram-neg. outer
180,P70406,PDB IDs: 2lck,2lck,Mitochon. inner
181,C5W716,PDB IDs: 3rko,3rko,Gram-neg. inner
183,Q15303,PDB IDs: 2l2t,2l2t,Eykaryo. plasma
186,O29777,PDB IDs: 3j08,3j08,Archaebac.
187,P29274,PDB IDs: 3pwh,3pwh,Eykaryo. plasma
188,Q51486,PDB IDs: 2lhf,2lhf,Gram-neg. outer
189,P31442,PDB IDs: 2gfp,2gfp,Gram-neg. inner
190,Q16873,PDB IDs: 2uuh,2uuh,Endoplasm. reticulum
191,Q48152,PDB IDs: 2gr7,2gr7,Gram-neg. outer
192,P07371,PDB IDs: 2bhw,2bhw,Thylakoid
193,O30144,PDB IDs: 2onk,2onk,Archaebac.
194,P02929,PDB IDs: 2grx,2grx,Gram-neg. outer
196,P76045,PDB IDs: 2iwv,2iwv,Gram-neg. outer
197,P06996,PDB IDs: 2j1n,2j1n,Gram-neg. outer
198,P31224,PDB IDs: 2gif,2gif,Gram-neg. inner
199,P02916,PDB IDs: 3puw,3puw,Gram-neg. inner
201,P20963,PDB IDs: 2hac,2hac,Eykaryo. plasma
202,P44783,PDB IDs: 2nr9,2nr9,Gram-neg. inner
203,E0SJQ4,PDB IDs: 3rqw,3rqw,Gram-neg. inner
205,P0AEG4,PDB IDs: 2hi7,2hi7,Gram-neg. inner
206,Q5QF96,PDB IDs: 4ezc,4ezc,Eykaryo. plasma
207,P42866,PDB IDs: 4dkl,4dkl,Eykaryo. plasma
208,Q72EF4,PDB IDs: 2j7a,2j7a,Gram-neg. inner
209,Q57130,PDB IDs: 2nq2,2nq2,Gram-neg. inner
210,P05695,PDB IDs: 2o4v,2o4v,Gram-neg. outer
211,O59010,PDB IDs: 2nwl,2nwl,Archaebac.
212,P08011,PDB IDs: 2h8a,2h8a,Endoplasm. reticulum
213,P17315,PDB IDs: 2hdi,2hdi,Gram-neg. outer
214,P83794,PDB IDs: 2e74,2e74,Thylakoid
215,P20292,PDB IDs: 2q7r,2q7r,Endoplasm. reticulum
216,Q05085,PDB IDs: 5a2n,5a2n,Eykaryo. plasma
217,Q5SMG8,PDB IDs: 2yvx,2yvx,Gram-neg. inner
218,Q1XA76,PDB IDs: 2qts,2qts,Eykaryo. plasma
219,P32722,PDB IDs: 2odj,2odj,Gram-neg. outer
221,P69380,PDB IDs: 2qfi,2qfi,Gram-neg. inner
222,Q7BSW5,PDB IDs: 2qom,2qom,Gram-neg. outer
224,P63359,PDB IDs: 3b60,3b60,Gram-neg. inner
225,P05027,PDB IDs: 3b8e,3b8e,Eykaryo. plasma
226,P19456,PDB IDs: 5ksd,5ksd,Eykaryo. plasma
227,Q98GN8,PDB IDs: 3beh,3beh,Gram-neg. inner
228,Q57837,PDB IDs: 3b4r,3b4r,Archaebac.
230,P0C7B7,PDB IDs: 2vl0,2vl0,Gram-neg. inner
231,P21397,PDB IDs: 2z5x,2z5x,Mitochon. outer
232,Q9RBW8,PDB IDs: 3bry,3bry,Gram-neg. outer
233,A5W4F4,PDB IDs: 3bs0,3bs0,Gram-neg. outer
234,Q9HUR5,PDB IDs: 2qtk,2qtk,Gram-neg. outer
235,Q9KX50,PDB IDs: 3chx,3chx,Gram-neg. inner
236,P21796,PDB IDs: 2k4t,2k4t,Mitochon. outer
237,P21709,PDB IDs: 2k1k,2k1k,Eykaryo. plasma
238,P55064,PDB IDs: 3d9s,3d9s,Eykaryo. plasma
241,P35874,PDB IDs: 3din,3din,Gram-neg. inner
242,P0A6M2,PDB IDs: 2k74,2k74,Gram-neg. inner
244,Q2S2F8,PDB IDs: 3ddl,3ddl,Gram-neg. inner
246,Q7NDN8,PDB IDs: 4hfi,4hfi,Gram-neg. inner
247,D6R8X8,PDB IDs: 2jln,2jln,Gram-pos. inner
248,Q87TN7,PDB IDs: 4j9u,4j9u,Gram-neg. inner
249,P96169,PDB IDs: 3dh4,3dh4,Gram-neg. inner
250,Q9HVJ6,PDB IDs: 3dwo,3dwo,Gram-neg. outer
251,Q60932,PDB IDs: 3emn,3emn,Mitochon. outer
252,Q72JD8,PDB IDs: 3dzm,3dzm,Gram-neg. outer
253,P24017,PDB IDs: 2k0l,2k0l,Gram-neg. outer
254,Q54450,PDB IDs: 3csl,3csl,Gram-neg. outer
255,Q93SW9,PDB IDs: 4ogq,4ogq,Thylakoid
256,Q8ZPT3,PDB IDs: 3fid,3fid,Gram-neg. outer
257,P37028,PDB IDs: 2qi9,2qi9,Gram-neg. inner
259,P21447,PDB IDs: 3g5u,3g5u,Eykaryo. plasma
260,P30750,PDB IDs: 3tui,3tui,Gram-neg. inner
261,Q9X6A5,PDB IDs: 3efm,3efm,Gram-neg. outer
262,P55087,PDB IDs: 3gd8,3gd8,Eykaryo. plasma
263,P63250,PDB IDs: 2qks,2qks,Gram-neg. inner
264,P29033,PDB IDs: 2zw3,2zw3,Eykaryo. plasma
266,Q4H132,PDB IDs: 2zxe,2zxe,Eykaryo. plasma
267,D6VTK4,PDB IDs: 2k9p,2k9p,Eykaryo. plasma
268,P52002,PDB IDs: 3w9i,3w9i,Gram-neg. inner
269,P69447,PDB IDs: 2w5j,2w5j,Thylakoid
273,P0DP23,PDB IDs: 5k7l,5k7l,Eykaryo. plasma
274,F2QVG4,PDB IDs: 2w2e,2w2e,Eykaryo. plasma
278,P0ABN1,PDB IDs: 2kdc,2kdc,Gram-neg. inner
279,P72412,PDB IDs: 3fhh,3fhh,Gram-neg. outer
282,P32851,PDB IDs: 3hd7,3hd7,Eykaryo. plasma
284,F8W463,PDB IDs: 3h9v,3h9v,Eykaryo. plasma
285,P29317,PDB IDs: 2k9y,2k9y,Eykaryo. plasma
286,Q58026,PDB IDs: 3gia,3gia,Archaebac.
290,Q63113,PDB IDs: 2jp3,2jp3,Eykaryo. plasma
291,Q82X47,PDB IDs: 3b9y,3b9y,Gram-neg. inner
292,Q9UBD6,PDB IDs: 3hd6,3hd6,Eykaryo. plasma
294,P69856,PDB IDs: 2wjr,2wjr,Gram-neg. outer
295,P01730,PDB IDs: 2klu,2klu,Eykaryo. plasma
299,Q4KH25,PDB IDs: 3jty,3jty,Gram-neg. outer
302,Q9KRE7,PDB IDs: 3kly,3kly,Gram-neg. inner
303,P0AC25,PDB IDs: 3kcu,3kcu,Gram-neg. inner
304,Q72CX3,PDB IDs: 3k3f,3k3f,Gram-neg. inner
305,P19491,PDB IDs: 3kg2,3kg2,Eykaryo. plasma
306,Q5ZLR5,PDB IDs: 3tgu,3tgu,Mitochon. inner
307,P0CY48,PDB IDs: 1zrt,1zrt,Gram-neg. inner
308,O33407,PDB IDs: 3kvn,3kvn,Gram-neg. outer
309,Q2JJF6,PDB IDs: 4nv6,4nv6,Gram-neg. inner
310,Q8UJW4,PDB IDs: 3llq,3llq,Gram-neg. inner
311,P21865,PDB IDs: 2ksf,2ksf,Gram-neg. inner
312,P0AEC3,PDB IDs: 2ksd,2ksd,Gram-neg. inner
313,P40719,PDB IDs: 2kse,2kse,Gram-neg. inner
314,P31553,PDB IDs: 3hfx,3hfx,Gram-neg. inner
315,Q5RT80,PDB IDs: 3a2s,3a2s,Gram-neg. outer
316,P05740,PDB IDs: 2wwb,2wwb,Endoplasm. reticulum
317,Q9X1B7,PDB IDs: 4q2e,4q2e,Gram-neg. inner
318,D9N164,PDB IDs: 2wlk,2wlk,Gram-neg. inner
319,P44741,PDB IDs: 3m73,3m73,Gram-neg. inner
320,O88093,PDB IDs: 3aeh,3aeh,Gram-neg. outer
322,Q56446,PDB IDs: 2lj2,2lj2,Gram-neg. inner
323,O27564,PDB IDs: 3ldc,3ldc,Archaebac.
324,D9IA43,PDB IDs: 3mk7,3mk7,Gram-neg. inner
325,P11551,PDB IDs: 3o7q,3o7q,Gram-neg. inner
326,B4EY22,PDB IDs: 2wsw,2wsw,Gram-neg. inner
327,P09391,PDB IDs: 2xow,2xow,Gram-neg. inner
328,Q8U019,PDB IDs: 3mp7,3mp7,Archaebac.
329,P61073,PDB IDs: 3oe6,3oe6,Eykaryo. plasma
330,P35462,PDB IDs: 3pbl,3pbl,Eykaryo. plasma
331,P73745,PDB IDs: 3nd0,3nd0,Gram-neg. inner
332,E5QVT2,PDB IDs: 3p5n,3p5n,Gram-pos. inner
335,Q59647,PDB IDs: 3wfd,3wfd,Gram-neg. inner
336,Q9HWW1,PDB IDs: 2x27,2x27,Gram-neg. outer
337,Q8EKT7,PDB IDs: 2xut,2xut,Gram-neg. inner
338,P07700,PDB IDs: 2y02,2y02,Eykaryo. plasma
339,P18434,PDB IDs: 2xzb,2xzb,Eykaryo. plasma
340,P77211,PDB IDs: 3pik,3pik,Gram-neg. outer
341,P60061,PDB IDs: 3ob6,3ob6,Gram-neg. inner
342,Q9RLG7,PDB IDs: 2kv5,2kv5,Gram-pos. inner
343,P07038,PDB IDs: 1mhs,1mhs,Eykaryo. plasma
344,P02947,PDB IDs: 1xrd,1xrd,Thylakoid
345,P54582,PDB IDs: 2wit,2wit,Gram-pos. inner
346,P77239,PDB IDs: 3ne5,3ne5,Gram-neg. inner
347,Q72XQ0,PDB IDs: 3qnq,3qnq,Gram-pos. inner
348,Q45340,PDB IDs: 3qq2,3qq2,Gram-neg. outer
351,P02973,PDB IDs: 1oqw,1oqw,Gram-neg. inner
352,P61013,PDB IDs: 1fjk,1fjk,Endoplasm. reticulum
354,P02647,PDB IDs: 4v6m,4v6m,Gram-neg. inner
360,Q7CQU0,PDB IDs: 3q7k,3q7k,Gram-neg. inner
361,Q5SKE6,PDB IDs: 3aqp,3aqp,Gram-neg. inner
362,P21860,PDB IDs: 2l9u,2l9u,Eykaryo. plasma
363,Q02762,PDB IDs: 2qjy,2qjy,Gram-neg. inner
364,G5EBR3,PDB IDs: 3rhw,3rhw,Eykaryo. plasma
365,P30130,PDB IDs: 3ohn,3ohn,Gram-neg. outer
366,B9KDD4,PDB IDs: 3rce,3rce,Gram-neg. inner
367,P35367,PDB IDs: 3rze,3rze,Eykaryo. plasma
368,A8EVM5,PDB IDs: 3rvy,3rvy,Gram-neg. inner
369,P37432,PDB IDs: 3nsg,3nsg,Gram-neg. outer
370,Q9NRK6,PDB IDs: 4ayt,4ayt,Mitochon. inner
377,Q9K0A9,PDB IDs: 3zuy,3zuy,Gram-neg. inner
378,O31467,PDB IDs: 2l16,2l16,Gram-pos. inner
381,P06494,PDB IDs: 1iij,1iij,Eykaryo. plasma
382,P13402,PDB IDs: 2ita,2ita,Gram-neg. inner
383,Q2RQ23,PDB IDs: 1wrg,1wrg,Thylakoid
384,P0C0Y1,PDB IDs: 1jo5,1jo5,Thylakoid
387,P48542,PDB IDs: 3sya,3sya,Eykaryo. plasma
388,P05417,PDB IDs: 2yiu,2yiu,Gram-neg. inner
389,Q9F7P4,PDB IDs: 2l6x,2l6x,Gram-neg. inner
390,Q5QUJ8,PDB IDs: 3tx3,3tx3,Gram-neg. inner
397,Q8D0Z7,PDB IDs: 3qra,3qra,Gram-neg. outer
398,C5I2D9,PDB IDs: 3qlb,3qlb,Gram-neg. outer
402,Q9HWP4,PDB IDs: 2y0h,2y0h,Gram-neg. outer
403,Q9I202,PDB IDs: 2y0k,2y0k,Gram-neg. outer
404,Q9I5H4,PDB IDs: 2y0l,2y0l,Gram-neg. outer
406,Q8TMG0,PDB IDs: 4a2n,4a2n,Archaebac.
408,Q8RUT8,PDB IDs: 3ug9,3ug9,Eykaryo. plasma
410,P63045,PDB IDs: 2kog,2kog,Eykaryo. plasma
417,Q9H3H5,PDB IDs: 5o5e,5o5e,Endoplasm. reticulum
426,P02975,PDB IDs: 3sok,3sok,Gram-neg. inner
429,Q8Y5K1,PDB IDs: 4h33,4h33,Gram-pos. inner
430,P60932,PDB IDs: 6cb2,6cb2,Gram-neg. inner
441,P21616,PDB IDs: 4a01,4a01,Vacuole
442,Q659I5,PDB IDs: 5ldv,5ldv,Gram-neg. outer
446,Q186B7,PDB IDs: 3tds,3tds,Gram-pos. inner
449,P56199,PDB IDs: 2l8s,2l8s,Eykaryo. plasma
450,Q9I6X0,PDB IDs: 3sy9,3sy9,Gram-neg. outer
451,Q9HVS0,PDB IDs: 3syb,3syb,Gram-neg. outer
452,Q9I6P8,PDB IDs: 3szd,3szd,Gram-neg. outer
453,Q9HZH0,PDB IDs: 3t24,3t24,Gram-neg. outer
455,P08172,PDB IDs: 3uon,3uon,Eykaryo. plasma
456,B3Y963,PDB IDs: 3ayf,3ayf,Gram-pos. inner
457,Q9NYG8,PDB IDs: 3um7,3um7,Eykaryo. plasma
458,O00180,PDB IDs: 3ukm,3ukm,Eykaryo. plasma
459,P21453,PDB IDs: 3v2y,3v2y,Eykaryo. plasma
460,P02787,PDB IDs: 3v89,3v89,Gram-neg. outer
461,Q57556,PDB IDs: 3v5u,3v5u,Archaebac.
462,P08483,PDB IDs: 4daj,4daj,Eykaryo. plasma
463,Q9KPL5,PDB IDs: 3tij,3tij,Gram-neg. inner
465,P63235,PDB IDs: 4dji,4dji,Gram-neg. inner
466,P41145,PDB IDs: 4djh,4djh,Eykaryo. plasma
467,Q0VCY0,PDB IDs: 3tlm,3tlm,Endoplasm. reticulum
468,P43681,PDB IDs: 2lly,2lly,Eykaryo. plasma
469,Q9WYC4,PDB IDs: 3qf4,3qf4,Gram-neg. inner
470,Q99T05,PDB IDs: 3vmt,3vmt,Gram-pos. inner
472,P41146,PDB IDs: 4ea3,4ea3,Eykaryo. plasma
473,A9VEV6,PDB IDs: 3vou,3vou,Gram-neg. inner
474,P32300,PDB IDs: 4ej4,4ej4,Eykaryo. plasma
475,P98005,PDB IDs: 2yev,2yev,Gram-neg. inner
476,Q9Y6G1,PDB IDs: 2lop,2lop,Mitochon. inner
478,Q9Y241,PDB IDs: 2lom,2lom,Mitochon. inner
479,Q9P298,PDB IDs: 2lon,2lon,Mitochon. inner
480,Q9P0S9,PDB IDs: 2los,2los,Mitochon. inner
481,P09619,PDB IDs: 2l6w,2l6w,Eykaryo. plasma
483,P43261,PDB IDs: 4e1s,4e1s,Gram-neg. outer
484,P11922,PDB IDs: 4e1t,4e1t,Gram-neg. outer
485,P46359,PDB IDs: 4epa,4epa,Gram-neg. outer
486,P92506,PDB IDs: 4ysx,4ysx,Mitochon. inner
487,Q9S7N7,PDB IDs: 5l8r,5l8r,Thylakoid
488,Q5SJ79,PDB IDs: 3s8g,3s8g,Gram-neg. inner
489,O75844,PDB IDs: 4aw6,4aw6,Endoplasm. reticulum
490,Q9S5X0,PDB IDs: 4av3,4av3,Gram-neg. inner
492,A2RMJ9,PDB IDs: 4dve,4dve,Gram-pos. inner
493,P07251,PDB IDs: 4b2q,4b2q,Mitochon. inner
494,P34712,PDB IDs: 4f4c,4f4c,Eykaryo. plasma
495,P08212,PDB IDs: 3v3c,3v3c,Thylakoid
496,A0L5S6,PDB IDs: 4f4l,4f4l,Gram-neg. inner
497,Q8E919,PDB IDs: 3j1z,3j1z,Gram-neg. inner
498,Q51056,PDB IDs: 4aui,4aui,Gram-neg. outer
499,P32842,PDB IDs: 5tj5,5tj5,Vacuole
500,P0AGF4,PDB IDs: 4gc0,4gc0,Gram-neg. inner
501,P20789,PDB IDs: 4grv,4grv,Eykaryo. plasma
502,P25024,PDB IDs: 2lnl,2lnl,Eykaryo. plasma
503,A5VZA8,PDB IDs: 4gey,4gey,Gram-neg. outer
504,Q9KNE0,PDB IDs: 5uld,5uld,Gram-neg. inner
505,P75830,PDB IDs: 5nik,5nik,Gram-neg. inner
506,Q8R6L9,PDB IDs: 3t9n,3t9n,Gram-pos. inner
507,Q58439,PDB IDs: 4ev6,4ev6,Archaebac.
508,A1JUB7,PDB IDs: 2lme,2lme,Gram-neg. outer
509,E8XEH9,PDB IDs: 4fc4,4fc4,Gram-neg. inner
510,Q9U6B8,PDB IDs: 4hkr,4hkr,Eykaryo. plasma
511,P0A264,PDB IDs: 3upg,3upg,Gram-neg. outer
512,O06796,PDB IDs: 2k3m,2k3m,Gram-pos. inner
513,O67305,PDB IDs: 4b4a,4b4a,Gram-neg. inner
514,P25116,PDB IDs: 3vw7,3vw7,Eykaryo. plasma
516,Q56993,PDB IDs: 4g1u,4g1u,Gram-neg. inner
517,A3CWV0,PDB IDs: 4hyg,4hyg,Archaebac.
518,P56874,PDB IDs: 3ux4,3ux4,Gram-neg. inner
519,Q3J125,PDB IDs: 4hg6,4hg6,Gram-neg. inner
521,Q74FS9,PDB IDs: 4gx0,4gx0,Gram-neg. inner
522,P69739,PDB IDs: 4gd3,4gd3,Gram-neg. inner
524,Q51162,PDB IDs: 4aip,4aip,Gram-neg. outer
525,M1E1G6,PDB IDs: 4hum,4hum,Gram-neg. inner
527,T0DVE4,PDB IDs: 4hw9,4hw9,Gram-neg. inner
528,M4GGS2,PDB IDs: 4il3,4il3,Endoplasm. reticulum
529,Q9AE79,PDB IDs: 2vdf,2vdf,Gram-neg. outer
530,P35077,PDB IDs: 3njt,3njt,Gram-neg. outer
532,P41595,PDB IDs: 4ib4,4ib4,Eykaryo. plasma
533,P28222,PDB IDs: 4iar,4iar,Eykaryo. plasma
534,P00125,PDB IDs: 3bcc,3bcc,Mitochon. inner
535,P38383,PDB IDs: 2zqp,2zqp,Gram-neg. inner
536,P69428,PDB IDs: 2lzr,2lzr,Gram-neg. inner
537,Q9KQW9,PDB IDs: 3b5x,3b5x,Gram-neg. inner
541,P37758,PDB IDs: 4iu9,4iu9,Gram-neg. inner
542,O32080,PDB IDs: 4j7c,4j7c,Gram-pos. inner
543,Q03PY6,PDB IDs: 4hzu,4hzu,Gram-pos. inner
544,Q03PY5,PDB IDs: 4huq,4huq,Gram-pos. inner
546,Q99835,PDB IDs: 4jkv,4jkv,Eykaryo. plasma
547,I4DST7,PDB IDs: 4fbz,4fbz,Archaebac.
548,Q9AFF7,PDB IDs: 4knf,4knf,Gram-neg. inner
549,Q4PP54,PDB IDs: 4jq6,4jq6,Gram-neg. inner
550,Q99385,PDB IDs: 4k1c,4k1c,Vacuole
551,P10903,PDB IDs: 4jr9,4jr9,Gram-neg. inner
552,Q8GNN6,PDB IDs: 2ynk,2ynk,Gram-neg. outer
553,Q8RGD7,PDB IDs: 3zk1,3zk1,Gram-neg. inner
